Quarterbacks ,Team,Opp. ,Points,Salary,,,
"Rodgers, Aaron",gnb,v. kan,37.92,8000.00,,,
"Dalton, Andy",cin,@ bal,35.32,5700.00,,,
"Newton, Cam",car,v. nor,32.9,6800.00,,,
"Brady, Tom",nwe,v. jac,25.72,7700.00,,,
"Flacco, Joe",bal,v. cin,24.48,6200.00,,,
"Taylor, Tyrod",buf,@ mia,24.28,5800.00,,,
"Mariota, Marcus",ten,v. ind,23.68,6100.00,,,
"McCown, Josh",cle,v. oak,23.64,5000.00,,,
"Carr, Derek",oak,@ cle,23.46,5300.00,,,
"Ryan, Matt",atl,@ dal,23.1,7100.00,,,
"Manning, Peyton",den,@ det,22.86,7400.00,,,
"Palmer, Carson",ari,v. sfo,22.54,6600.00,,,
"Smith, Alex",kan,@ gnb,19.9,6000.00,,,
"Cousins, Kirk",was,@ nyg,19.64,5500.00,,,
"Manning, Eli",nyg,v. was,19.16,7000.00,,,
"Tannehill, Ryan",mia,v. buf,18.78,6700.00,,,
"Luck, Andrew",ind,@ ten,18.5,7900.00,,,
"Fitzpatrick, Ryan",nyj,v. phi,17.62,5100.00,,,
"Bortles, Blake",jac,@ nwe,17.38,5100.00,,,
"Wilson, Russell",sea,v. chi,16.2,7000.00,,,
"McCown, Luke",nor,@ car,14.4,5000.00,,,
"Winston, Jameis",tam,@ hou,13.44,5400.00,,,
"Stafford, Matthew",det,v. den,12.58,6300.00,,,
"Mallett, Ryan",hou,v. tam,12.02,5000.00,,,
"Rivers, Philip",sdg,@ min,11.84,6400.00,,,
"Kaepernick, Colin",sfo,@ ari,9.28,6300.00,,,
"Bradford, Sam",phi,@ nyj,8.52,6300.00,,,
"Weeden, Brandon",dal,v. atl,8.28,5200.00,,,
"Foles, Nick",stl,v. pit,7.88,5200.00,,,
"Roethlisberger, Ben",pit,@ stl,6.68,7200.00,,,
"Clemens, Kellen",sdg,@ min,6.52,5000.00,,,
"Clausen, Jimmy",chi,@ sea,3.82,5000.00,,,
"Bridgewater, Teddy",min,v. sdg,3.74,6200.00,,,
"Vick, Michael",pit,@ stl,1.32,5000.00,,,
"Webb, Joe",car,v. nor,0,5000.00,,,
"Manuel, E.J.",buf,@ mia,-0.2,5000.00,,,
"Garoppolo, Jimmy",nwe,v. jac,-0.2,5000.00,,,
"Stanton, Drew",ari,v. sfo,-0.3,5000.00,,,
