Quarterbacks ,Team,Opp. ,Points,Salary
"Stafford, Matthew",det,v. chi,37.9,5300.00
"Rivers, Philip",sdg,@ gnb,31.12,6300.00
"Luck, Andrew",ind,v. nwe,30.98,7600.00
"Bortles, Blake",jac,v. hou,28.94,5200.00
"Brady, Tom",nwe,@ ind,26.48,8100.00
"Fitzpatrick, Ryan",nyj,v. was,26.22,5000.00
"Kaepernick, Colin",sfo,v. bal,25.6,5000.00
"Hoyer, Brian",hou,@ jac,24.22,5100.00
"Cutler, Jay",chi,@ det,23.32,5200.00
"Flacco, Joe",bal,@ sfo,22.72,5900.00
"Newton, Cam",car,@ sea,21.76,6700.00
"Palmer, Carson",ari,@ pit,21.74,6600.00
"Manuel, E.J.",buf,v. cin,21.72,5000.00
"Dalton, Andy",cin,@ buf,21.52,5700.00
"Ryan, Matt",atl,@ nor,19.8,6900.00
"Brees, Drew",nor,v. atl,19.68,7000.00
"Rodgers, Aaron",gnb,v. sdg,19.6,7700.00
"Wilson, Russell",sea,v. car,18.94,6500.00
"Tannehill, Ryan",mia,@ ten,18.04,5700.00
"Smith, Alex",kan,@ min,16.28,5300.00
"McCown, Josh",cle,v. den,14.72,5400.00
"Jones, Landry",pit,v. ari,14.62,5000.00
"Manning, Peyton",den,@ cle,12.6,6600.00
"Bradford, Sam",phi,v. nyg,12.4,6000.00
"Bridgewater, Teddy",min,v. kan,11.46,5300.00
"Manning, Eli",nyg,@ phi,10.76,6800.00
"Cousins, Kirk",was,@ nyj,9.94,5100.00
"Mariota, Marcus",ten,v. mia,8.76,5800.00
"Vick, Michael",pit,v. ari,4.94,5000.00
"Mettenberger, Zach",ten,v. mia,2.92,5000.00
"Mallett, Ryan",hou,@ jac,0,5000.00
"McCown, Luke",nor,v. atl,0,5000.00
"Webb, Joe",car,@ sea,0,5000.00
