Running Backs ,Team,Opp. ,Points,Salary
"Martin, Doug",tam,v. jac,39.8,4700.00
"Freeman, Devonta",atl,v. was,35.7,6300.00
"Forsett, Justin",bal,v. cle,30,5800.00
"Rawls, Thomas",sea,@ cin,25.9,3800.00
"Bell, Le'Veon",pit,@ sdg,25.7,8500.00
"Vereen, Shane",nyg,v. sfo,25,4200.00
"Murray, DeMarco",phi,v. nor,25,6200.00
"Lewis, Dion",nwe,@ dal,23.3,4800.00
"Forte, Matt",chi,@ kan,21.9,7000.00
"Riddick, Theo",det,v. ari,21.3,3000.00
"Foster, Arian",hou,v. ind,20.8,7000.00
"Gurley, Todd",stl,@ gnb,18.9,4300.00
"Mathews, Ryan",phi,v. nor,18.6,3500.00
"Reece, Marcel",oak,v. den,18.5,3000.00
"Sims, Charles",tam,v. jac,17.6,3600.00
"Yeldon, T.J.",jac,@ tam,17.3,4400.00
"McFadden, Darren",dal,v. nwe,16.8,3400.00
"Crowell, Isaiah",cle,@ bal,16.7,4100.00
"Hyde, Carlos",sfo,@ nyg,16.7,4900.00
"Gore, Frank",ind,@ hou,15.8,5000.00
"Gordon, Melvin",sdg,v. pit,15.4,4900.00
"Bernard, Giovani",cin,v. sea,15.1,4800.00
"Andrews, Antonio",ten,v. buf,14.4,3500.00
"Johnson, Duke",cle,@ bal,13.7,4600.00
"Johnson, Chris",ari,@ det,13.3,4400.00
"Woodhead, Danny",sdg,v. pit,12.6,4600.00
"Johnson, David",ari,@ det,12.6,4300.00
"Ellington, Andre",ari,@ det,12.3,5300.00
"Juszczyk, Kyle",bal,v. cle,12.1,3000.00
"Randle, Joseph",dal,v. nwe,11.3,6000.00
"Thompson, Chris",was,@ atl,10.8,3300.00
"Jones, Matt",was,@ atl,10.7,4000.00
"Jennings, Rashad",nyg,v. sfo,10.7,4500.00
"Charles, Jamaal",kan,v. chi,9.4,7800.00
"Ingram, Mark",nor,@ phi,9.4,6100.00
"Murray, Latavius",oak,v. den,8.7,6300.00
"Starks, James",gnb,v. stl,7.6,3500.00
"Blount, LeGarrette",nwe,@ dal,7.4,4500.00
"Sankey, Bishop",ten,v. buf,7.3,4200.00
"Dixon, Anthony",buf,@ ten,6.9,3000.00
"Jackson, Fred",sea,@ cin,6.4,3000.00
"Anderson, C.J.",den,@ oak,6,5300.00
"Allen, Javorius",bal,v. cle,5.8,3000.00
"Robinson, Khiry",nor,@ phi,5.2,3000.00
"Cunningham, Benny",stl,@ gnb,4.8,3300.00
"Helu, Roy",oak,v. den,4.8,3000.00
"Zenner, Zach",det,v. ari,4.7,3000.00
"Sproles, Darren",phi,v. nor,4.7,4200.00
"West, Charcandrick",kan,v. chi,4.6,3000.00
"Lacy, Eddie",gnb,v. stl,4.5,6700.00
"Miller, Bruce",sfo,@ nyg,4.3,3000.00
"Blue, Alfred",hou,v. ind,4.3,3900.00
"Polk, Chris",hou,v. ind,4.2,3300.00
"Hillman, Ronnie",den,@ oak,3.6,4900.00
"Hill, Jeremy",cin,v. sea,3.5,6100.00
"Spiller, C.J.",nor,@ phi,3.2,3800.00
"Herron, Dan",buf,@ ten,2.8,N/A
"McCluster, Dexter",ten,v. buf,2.8,3000.00
"Abdullah, Ameer",det,v. ari,2.6,4100.00
"Thompson, Juwan",den,@ oak,2.6,3000.00
"Langford, Jeremy",chi,@ kan,2.2,3000.00
"Robinson, Josh",ind,@ hou,2.2,3200.00
"Williams, DeAngelo",pit,@ sdg,2,4500.00
"Taylor, Stepfan",ari,@ det,1.9,3000.00
"Burton, Michael",det,v. ari,1.6,3000.00
"Morris, Alfred",was,@ atl,1.5,4000.00
"Olawale, Jamize",oak,v. den,1.3,3000.00
"Hayne, Jarryd",sfo,@ nyg,0.9,3000.00
"Mason, Tre",stl,@ gnb,0.8,3700.00
"Michael, Christine",dal,v. nwe,0.6,3000.00
"Pierce, Bernard",jac,@ tam,0.6,3000.00
"Rodgers, Jacquizz",chi,@ kan,0.3,3000.00
"Kuhn, John",gnb,v. stl,0.3,3000.00
"Coleman, Tevin",atl,v. was,0.3,4200.00
"Wood, Cierre",buf,@ ten,0.3,3000.00
"Gerhart, Toby",jac,@ tam,0.2,3000.00
"Felton, Jerome",buf,@ ten,0.2,3000.00
"Davis, Knile",kan,v. chi,0.2,3000.00
"Harris, Alonzo",gnb,v. stl,0,3000.00
"Tukuafu, Will",sea,@ cin,0,3000.00
"Darkwa, Orleans",nyg,v. sfo,0,3000.00
"Johnson, Will",pit,@ sdg,0,3000.00
"Ward, Terron",atl,v. was,0,3200.00
"Young, Darrel",was,@ atl,0,3000.00
"Todman, Jordan",pit,@ sdg,0,3000.00
"Murphy, Marcus",nor,@ phi,0,3000.00
"Reynolds, Chase",stl,@ gnb,0,3000.00
"Sherman, Anthony",kan,v. chi,0,3000.00
"Bolden, Brandon",nwe,@ dal,0,3000.00
"Rainey, Bobby",tam,v. jac,0,3000.00
"Lane, Jorvorskie",tam,v. jac,0,3000.00
"Williams, Andre",nyg,v. sfo,0,3100.00
"Nix, Roosevelt",pit,@ sdg,0,3000.00
"Oliver, Branden",sdg,v. pit,0,3000.00
"DiMarco, Patrick",atl,v. was,0,3000.00
"Peerman, Cedric",cin,v. sea,0,3000.00
"Clutts, Tyler",dal,v. nwe,0,3000.00
"Coleman, Derrick",sea,@ cin,0,3000.00
"Fowler, Jalston",ten,v. buf,0,3000.00
"Ripkowski, Aaron",gnb,v. stl,0,3000.00
"Johnson, Malcolm",cle,@ bal,0,3000.00
