Tight Ends ,Team,Opp. ,Points,Salary
"Watson, Ben",nor,v. atl,31.7,2500.00
"Olsen, Greg",car,@ sea,29.1,5500.00
"Graham, Jimmy",sea,v. car,25,5400.00
"Thomas, Julius",jac,v. hou,20.8,4000.00
"Barnidge, Gary",cle,v. den,18.9,4400.00
"Gates, Antonio",sdg,@ gnb,18.5,4600.00
"Walker, Delanie",ten,v. mia,17.7,3600.00
"Clay, Charles",buf,v. cin,15.2,4300.00
"Gronkowski, Rob",nwe,@ ind,14,7600.00
"Kelce, Travis",kan,@ min,13.8,5000.00
"Sims, Dion",mia,@ ten,13.3,2500.00
"Eifert, Tyler",cin,@ buf,13,4900.00
"Green, Ladarius",sdg,@ gnb,12.5,3200.00
"Cameron, Jordan",mia,@ ten,12,3000.00
"Bennett, Martellus",chi,@ det,11.9,4800.00
"Wright, Tim",det,v. chi,10.7,2500.00
"Gragg, Chris",buf,v. cin,10.4,2500.00
"Rudolph, Kyle",min,v. kan,8.9,3000.00
"Ertz, Zach",phi,v. nyg,8.3,2900.00
"Carrier, Derek",was,@ nyj,7.9,2500.00
"Hill, Josh",nor,v. atl,6.8,2500.00
"Williams, Maxx",bal,@ sfo,6.4,2800.00
"Tamme, Jacob",atl,@ nor,6.2,2500.00
"Gillmore, Crockett",bal,@ sfo,6,2700.00
"Donnell, Larry",nyg,@ phi,5.9,2800.00
"Chandler, Scott",nwe,@ ind,5.9,2500.00
"Rodgers, Richard",gnb,v. sdg,5.4,3100.00
"Dickson, Ed",car,@ sea,5.4,2500.00
"Allen, Dwayne",ind,v. nwe,5.3,2900.00
"Fleener, Coby",ind,v. nwe,5,3000.00
"Daniels, Owen",den,@ cle,4.4,2700.00
"O'Shaughnessy, James",kan,@ min,4.3,2500.00
"Tye, Will",nyg,@ phi,4.2,2500.00
"Toilolo, Levine",atl,@ nor,3.8,2500.00
"Harris, Demetrius",kan,@ min,3.5,2500.00
"Doyle, Jack",ind,v. nwe,2.7,2500.00
"Willson, Luke",sea,v. car,2.6,2500.00
"Hewitt, Ryan",cin,@ buf,2.6,2500.00
"Niklas, Troy",ari,@ pit,2.3,2500.00
"Ellison, Rhett",min,v. kan,2.1,2500.00
"Fasano, Anthony",ten,v. mia,2.1,2500.00
"McDonald, Vance",sfo,v. bal,2,2500.00
"Fells, Darren",ari,@ pit,1.9,2500.00
"Lewis, Marcedes",jac,v. hou,1.8,2700.00
"Fiedorowicz, C.J.",hou,@ jac,1.8,2500.00
"Miller, Heath",pit,v. ari,1.5,3100.00
"Helfet, Cooper",sea,v. car,0,2500.00
"Celek, Garrett",sfo,v. bal,0,2500.00
"Harris, Clark",cin,@ buf,0,2500.00
"Burton, Trey",phi,v. nyg,0,2500.00
"Lee, Khari",chi,@ det,0,2500.00
"Mulligan, Matthew",buf,v. cin,0,2500.00
"Davis, Kellen",nyj,v. was,0,2500.00
"Spaeth, Matt",pit,v. ari,0,2500.00
"Williams, Michael",nwe,@ ind,0,2500.00
"Miller, Zach",chi,@ det,0,2500.00
"Cumberland, Jeff",nyj,v. was,0,2500.00
"Davis, Vernon",sfo,v. bal,0,3000.00
"Supernaw, Phillip",ten,v. mia,0,2500.00
"Jacobs, Nic",jac,v. hou,0,2500.00
"Phillips, John",sdg,@ gnb,0,2500.00
"Green, Virgil",den,@ cle,0,2500.00
"Gresham, Jermaine",ari,@ pit,0,2500.00
"Moeaki, Tony",atl,@ nor,0,2500.00
"Pruitt, MyCole",min,v. kan,0,2500.00
"Kroft, Tyler",cin,@ buf,0,2500.00
"McCoy, Anthony",was,@ nyj,0,2500.00
"Bell, Blake",sfo,v. bal,0,2500.00
"Hoomanawanui, Michael",nor,v. atl,0,2500.00
"Celek, Brent",phi,v. nyg,0,2500.00
"Housler, Rob",cle,v. den,0,2500.00
"Boyle, Nick",bal,@ sfo,0,2500.00
"Stoneburner, Jake",mia,@ ten,0,2500.00
"Graham, Garrett",hou,@ jac,0,2500.00
"Dray, Jim",cle,v. den,0,2500.00
"Stevens, Craig",ten,v. mia,0,2500.00
"Johnson, David",sdg,@ gnb,0,2500.00
"Harbor, Clay",jac,v. hou,0,2500.00
