Wide Receivers ,Team,Opp. ,Points,Salary
"Hopkins, DeAndre",hou,v. ind,30.9,7200.00
"Beckham Jr., Odell",nyg,v. sfo,28.4,9000.00
"Boldin, Anquan",sfo,@ nyg,27.7,4400.00
"Robinson, Allen",jac,@ tam,26.2,5500.00
"Johnson, Andre",ind,@ hou,25.7,4100.00
"Hurns, Allen",jac,@ tam,25.6,4500.00
"Edelman, Julian",nwe,@ dal,25,7000.00
"Cooks, Brandin",nor,@ phi,24.7,5900.00
"Sanders, Emmanuel",den,@ oak,23.1,7400.00
"Snead, Willie",nor,@ phi,23.1,3000.00
"Wilson, Marquess",chi,@ kan,20.5,3400.00
"Strong, Jaelen",hou,v. ind,19.3,3000.00
"Huff, Josh",phi,v. nor,17.8,3000.00
"Jones, Julio",atl,v. was,17.7,9200.00
"Moore, Lance",det,v. ari,17.5,3000.00
"Brown, John",ari,@ det,17.3,5100.00
"Fitzgerald, Larry",ari,@ det,16.8,6800.00
"Crowder, Jamison",was,@ atl,16.7,3500.00
"Maclin, Jeremy",kan,v. chi,16.5,6000.00
"Montgomery, Ty",gnb,v. stl,15.9,3400.00
"Jones, James",gnb,v. stl,15.7,5700.00
"Tate, Golden",det,v. ari,15.2,5200.00
"Hogan, Chris",buf,@ ten,14.36,3200.00
"Benjamin, Travis",cle,@ bal,14.3,4500.00
"Wheaton, Markus",pit,@ sdg,14.2,3300.00
"Hawkins, Andrew",cle,@ bal,13.9,3000.00
"Green, A.J.",cin,v. sea,13.8,7700.00
"Hilton, T.Y.",ind,@ hou,13.8,6800.00
"Harris, Dwayne",nyg,v. sfo,13.2,3400.00
"Sanu, Mohamed",cin,v. sea,11.9,3300.00
"Kearse, Jermaine",sea,@ cin,11.8,3500.00
"Aiken, Kamar",bal,v. cle,11.8,3800.00
"Allen, Keenan",sdg,v. pit,11.7,7200.00
"Johnson, Calvin",det,v. ari,11.7,7400.00
"Gabriel, Taylor",cle,@ bal,11.5,3000.00
"Jones, Marvin",cin,v. sea,11.1,3700.00
"Thomas, De'Anthony",kan,v. chi,10.9,3000.00
"Austin, Tavon",stl,@ gnb,10.8,4300.00
"Thomas, Demaryius",den,@ oak,10.5,8100.00
"Walters, Bryan",jac,@ tam,10.4,3000.00
"Bailey, Stedman",stl,@ gnb,10.3,3000.00
"Baldwin, Doug",sea,@ cin,10,4200.00
"Crabtree, Michael",oak,v. den,9.4,4600.00
"Matthews, Jordan",phi,v. nor,9.4,6400.00
"Meredith, Cameron",chi,@ kan,9.2,3000.00
"Randle, Rueben",nyg,v. sfo,9.2,4400.00
"Bellamy, Josh",chi,@ kan,9.1,3300.00
"Cooper, Amari",oak,v. den,8.9,6600.00
"Garcon, Pierre",was,@ atl,8.1,5300.00
"Beasley, Cole",dal,v. nwe,8,3100.00
"Floyd, Malcom",sdg,v. pit,7.8,3500.00
"Hunter, Justin",ten,v. buf,7.8,3200.00
"Fuller, Corey",det,v. ari,7.6,3000.00
"Brown, Antonio",pit,@ sdg,7.5,8700.00
"Evans, Mike",tam,v. jac,7.1,6100.00
"Fowler, Bennie",den,@ oak,6.6,3000.00
"Colston, Marques",nor,@ phi,6.6,4300.00
"Mumphery, Keith",hou,v. ind,6.3,3000.00
"Cooper, Riley",phi,v. nor,6.2,3300.00
"Smith, Torrey",sfo,@ nyg,6.2,4200.00
"Wright, Kendall",ten,v. buf,6,5400.00
"Ellington, Bruce",sfo,@ nyg,5.9,3000.00
"Cobb, Randall",gnb,v. stl,5.3,7500.00
"Williams, Terrance",dal,v. nwe,5,4300.00
"Lockett, Tyler",sea,@ cin,4.9,3400.00
"Heyward-Bey, Darrius",pit,@ sdg,4.4,3500.00
"Goodwin, Marquise",buf,@ ten,4.4,3000.00
"Jackson, Vincent",tam,v. jac,4.4,5000.00
"White, Roddy",atl,v. was,4.3,3500.00
"Martin, Keshawn",nwe,@ dal,4.3,3000.00
"Douglas, Harry",ten,v. buf,3.7,3000.00
"Norwood, Jordan",den,@ oak,3.5,3000.00
"Patton, Quinton",sfo,@ nyg,2.6,3000.00
"Davis, Geremy",nyg,v. sfo,2.6,3000.00
"Amendola, Danny",nwe,@ dal,2.6,3600.00
