"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"G","Jason Day",11800,"Golf@Golf 06:00AM ET",93.853
"G","Jordan Spieth",11300,"Golf@Golf 06:00AM ET",90.477
"G","Rory McIlroy",11200,"Golf@Golf 06:00AM ET",81.500
"G","Dustin Johnson",10800,"Golf@Golf 06:00AM ET",75.265
"G","Henrik Stenson",10500,"Golf@Golf 06:00AM ET",83.577
"G","Justin Rose",10200,"Golf@Golf 06:00AM ET",75.588
"G","Bubba Watson",9800,"Golf@Golf 06:00AM ET",86.156
"G","Zach Johnson",9300,"Golf@Golf 06:00AM ET",70.909
"G","Jim Furyk",9000,"Golf@Golf 06:00AM ET",69.281
"G","Rickie Fowler",8900,"Golf@Golf 06:00AM ET",68.278
"G","Hideki Matsuyama",8800,"Golf@Golf 06:00AM ET",76.364
"G","Brooks Koepka",8700,"Golf@Golf 06:00AM ET",79.342
"G","Louis Oosthuizen",8600,"Golf@Golf 06:00AM ET",58.382
"G","Matt Kuchar",8500,"Golf@Golf 06:00AM ET",75.682
"G","Brandt Snedeker",8400,"Golf@Golf 06:00AM ET",68.304
"G","Paul Casey",8300,"Golf@Golf 06:00AM ET",67.400
"G","Phil Mickelson",8200,"Golf@Golf 06:00AM ET",65.794
"G","Webb Simpson",8100,"Golf@Golf 06:00AM ET",67.447
"G","Robert Streb",8000,"Golf@Golf 06:00AM ET",69.611
"G","Justin Thomas",7900,"Golf@Golf 06:00AM ET",70.179
"G","Ryan Palmer",7800,"Golf@Golf 06:00AM ET",65.737
"G","Luke Donald",7800,"Golf@Golf 06:00AM ET",55.184
"G","Russell Henley",7800,"Golf@Golf 06:00AM ET",68.214
"G","Patrick Reed",7800,"Golf@Golf 06:00AM ET",74.417
"G","Bill Haas",7700,"Golf@Golf 06:00AM ET",62.190
"G","Tony Finau",7700,"Golf@Golf 06:00AM ET",64.983
"G","Jason Dufner",7600,"Golf@Golf 06:00AM ET",61.737
"G","Billy Horschel",7600,"Golf@Golf 06:00AM ET",62.212
"G","Danny Lee",7600,"Golf@Golf 06:00AM ET",62.091
"G","Keegan Bradley",7600,"Golf@Golf 06:00AM ET",65.591
"G","David Lingmerth",7500,"Golf@Golf 06:00AM ET",57.058
"G","Jimmy Walker",7400,"Golf@Golf 06:00AM ET",74.548
