PLAYER NAME,greens_in_reg
Henrik Stenson,74.07
Jim Herman,73.45
Stewart Cink,72.94
Will Wilcox,72.53
Paul Casey,71.99
Francesco Molinari,71.07
Russell Knox,70.9
Justin Rose,70.63
Jason Day,70.46
Lucas Glover,70.46
Brooks Koepka,70.42
Alex Prugh,70.14
Michael Putnam,70.13
J.J. Henry,70.01
Vaughn Taylor,69.97
Robert Streb,69.84
Johnson Wagner,69.7
Billy Horschel,69.64
Chez Reavie,69.64
Adam Scott,69.62
Hideki Matsuyama,69.59
Jason Bohn,69.54
Bubba Watson,69.49
Kevin Streelman,69.48
Ben Martin,69.38
Brendan Steele,69.3
Jim Furyk,69.26
Greg Owen,69.25
Graham DeLaet,69.15
Shawn Stefani,69.12
Justin Thomas,68.99
Zach Johnson,68.96
Chad Campbell,68.89
Byron Smith,68.89
Jason Dufner,68.84
Bill Haas,68.84
Charles Howell III,68.76
Bill Lunde,68.72
Nicholas Thompson,68.6
Mark Wilson,68.59
Spencer Levin,68.58
Daniel Berger,68.56
Hudson Swafford,68.56
Louis Oosthuizen,68.52
Rory Sabbatini,68.49
Pat Perez,68.37
Tony Finau,68.33
Martin Flores,68.32
John Peterson,68.32
Ryan Armour,68.31
Brice Garnett,68.28
David Hearn,68.25
Webb Simpson,68.25
Whee Kim,68.2
Colt Knost,68.16
Jordan Spieth,68.16
William McGirt,68.07
Harris English,67.96
Will MacKenzie,67.91
Sergio Garcia,67.84
Scott Pinckney,67.79
Cameron Percy,67.78
Davis Love III,67.73
Jason Kokrak,67.7
Boo Weekley,67.7
Brendon de Jonge,67.69
John Merrick,67.64
Jason Gore,67.54
Keegan Bradley,67.47
John Senden,67.37
Jonathan Byrd,67.35
Russell Henley,67.24
Brian Harman,67.14
Kyle Reifers,67.11
Gary Woodland,67.09
Scott Piercy,66.94
Bo Van Pelt,66.88
Ryan Palmer,66.83
Mark Hubbard,66.81
Patrick Rodgers,66.77
Tyrone Van Aswegen,66.77
Kevin Kisner,66.73
Nick Watney,66.73
Robert Allenby,66.67
Andres Gonzales,66.67
Jimmy Walker,66.67
Carlos Ortiz,66.61
Matt Kuchar,66.6
Martin Laird,66.59
Steven Alker,66.57
Adam Hadwin,66.55
Geoff Ogilvy,66.55
Derek Ernst,66.51
Charley Hoffman,66.46
Lee Westwood,66.45
Blayne Barber,66.44
Ryo Ishikawa,66.41
George McNeill,66.41
Jon Curran,66.39
Bryce Molder,66.26
Vijay Singh,66.24
Ian Poulter,66.17
Hunter Mahan,66.14
Roberto Castro,66.11
Chad Collins,66.1
Zac Blair,66.09
Danny Lee,66.05
James Hahn,66.04
Tom Hoge,66.03
Daniel Summerhays,65.95
Brendon Todd,65.95
Carlos Sainz Jr,65.94
Marc Leishman,65.92
Seung-Yul Noh,65.9
Kevin Chappell,65.81
Alex Cejka,65.78
Ryan Moore,65.74
Jerry Kelly,65.73
Jeff Overton,65.7
Chris Stroud,65.67
Dustin Johnson,65.65
Brandt Snedeker,65.53
Charlie Beljan,65.51
Jhonattan Vegas,65.44
Michael Thompson,65.43
Luke Donald,65.34
Scott Brown,65.29
Billy Hurley III,65.26
Rickie Fowler,65.25
Jim Renner,65.24
Sam Saunders,65.23
David Lingmerth,65.21
Kevin Na,65.19
Branden Grace,65.03
Scott Stallings,65
Charl Schwartzel,64.99
Angel Cabrera,64.88
John Huh,64.85
Patrick Reed,64.75
S.J. Park,64.72
Cameron Tringale,64.71
Scott Langley,64.67
David Toms,64.66
Steve Wheatcroft,64.59
Ernie Els,64.52
J.B. Holmes,64.46
Chris Kirk,64.44
Nick Taylor,64.41
Sean O'Hair,64.39
Jonathan Randolph,64.37
D.A. Points,64.29
Trevor Immelman,64.27
Ken Duke,64.17
Chesson Hadley,64.03
Robert Garrigus,63.97
Steven Bowditch,63.92
Gonzalo Fdez-Castano,63.92
Matt Jones,63.85
Jamie Donaldson,63.83
K.J. Choi,63.8
Greg Chalmers,63.79
Luke Guthrie,63.75
Fabian Gomez,63.7
Andrew Svoboda,63.6
Troy Merritt,63.45
Zack Sucher,63.31
Ben Crane,63.22
Brian Stuard,63.2
Erik Compton,63.18
Oscar Fraustro,63.17
Roger Sloan,63.14
Carl Pettersson,63.13
Sangmoon Bae,63.11
Camilo Villegas,63.01
Max Homa,62.99
Tom Gillis,62.88
Heath Slocum,62.79
Jonas Blixt,62.71
Justin Leonard,62.57
Aaron Baddeley,62.46
Tim Wilkinson,62.44
Brian Davis,62.26
Retief Goosen,62.19
Andres Romero,61.7
Phil Mickelson,61.65
Derek Fathauer,61.33
Morgan Hoffmann,61.32
Eric Axley,61.21
Padraig Harrington,61.02
Freddie Jacobson,61
Ricky Barnes,60.47
Andrew Putnam,59.9
Matt Every,58.25
