PLAYER NAME,scramble
Chad Collins,66.18
Jerry Kelly,65.98
Steven Bowditch,65.73
Jason Day,65.52
Jordan Spieth,65.32
Brandt Snedeker,65.05
Branden Grace,64.98
Jonathan Byrd,64.92
Webb Simpson,64.75
Zac Blair,64.51
S.J. Park,64.42
Billy Hurley III,64.17
David Toms,63.96
Matt Kuchar,63.89
William McGirt,63.74
Kevin Kisner,63.7
John Peterson,63.47
Bryce Molder,63.41
Freddie Jacobson,63.2
K.J. Choi,63.12
Rory Sabbatini,63.04
Hideki Matsuyama,63
Bill Haas,62.89
Kevin Na,62.88
John Huh,62.6
Brendon Todd,62.57
Will Wilcox,62.55
Jim Furyk,62.35
Jason Bohn,62.3
Patrick Reed,62.14
Ben Crane,61.98
Bubba Watson,61.92
Carl Pettersson,61.89
Justin Leonard,61.8
Justin Thomas,61.79
Jon Curran,61.72
Sangmoon Bae,61.65
Troy Merritt,61.54
Mark Hubbard,61.52
Steven Alker,61.5
Luke Donald,61.48
Martin Laird,61.42
Cameron Tringale,61.18
Henrik Stenson,61.16
Louis Oosthuizen,61.11
Aaron Baddeley,61
Vijay Singh,60.97
Daniel Berger,60.91
Danny Lee,60.91
David Lingmerth,60.84
Ryan Palmer,60.84
Kyle Reifers,60.84
Ryan Moore,60.81
Jonathan Randolph,60.8
Scott Brown,60.76
Harris English,60.69
Eric Axley,60.68
Brian Davis,60.68
Matt Jones,60.68
Steve Wheatcroft,60.68
George McNeill,60.65
Tom Gillis,60.54
Erik Compton,60.53
Mark Wilson,60.48
Alex Cejka,60.33
Russell Knox,60.3
Brian Stuard,60.23
Robert Streb,60.15
Zach Johnson,60.14
Dustin Johnson,60.11
Ricky Barnes,60
Chris Stroud,59.92
Vaughn Taylor,59.91
Chris Kirk,59.86
Ian Poulter,59.82
Greg Owen,59.81
D.A. Points,59.78
Morgan Hoffmann,59.75
Spencer Levin,59.7
Pat Perez,59.68
Boo Weekley,59.63
Blayne Barber,59.51
Jamie Donaldson,59.48
Chad Campbell,59.4
Kevin Chappell,59.38
Retief Goosen,59.35
Jhonattan Vegas,59.25
Scott Piercy,59.24
Max Homa,59.23
Kevin Streelman,59.21
Brian Harman,59.18
Scott Langley,59.15
Michael Putnam,59.08
Brendan Steele,59.05
Jason Kokrak,59
James Hahn,58.92
Jim Herman,58.88
Rickie Fowler,58.81
Jeff Overton,58.8
Justin Rose,58.78
Martin Flores,58.77
Camilo Villegas,58.75
Johnson Wagner,58.74
Ken Duke,58.71
J.B. Holmes,58.67
Sean O'Hair,58.6
Charley Hoffman,58.59
Tom Hoge,58.59
Jonas Blixt,58.57
Nick Watney,58.55
Sergio Garcia,58.47
Adam Hadwin,58.39
Fabian Gomez,58.37
Francesco Molinari,58.33
Tim Wilkinson,58.33
Nick Taylor,58.32
Brendon de Jonge,58.25
Keegan Bradley,58.2
Tyrone Van Aswegen,58.2
Stewart Cink,58.13
Colt Knost,58.09
Russell Henley,58.04
Chesson Hadley,57.96
Phil Mickelson,57.94
Gonzalo Fdez-Castano,57.8
Sam Saunders,57.79
Whee Kim,57.72
Luke Guthrie,57.57
Daniel Summerhays,57.54
Bill Lunde,57.53
Derek Fathauer,57.46
Billy Horschel,57.45
Greg Chalmers,57.39
Graham DeLaet,57.34
John Merrick,57.31
Derek Ernst,57.24
Shawn Stefani,57.11
Jimmy Walker,57.02
Padraig Harrington,57.01
David Hearn,56.92
Heath Slocum,56.9
Brooks Koepka,56.88
Davis Love III,56.78
Hunter Mahan,56.76
Andrew Putnam,56.71
Andres Romero,56.7
Marc Leishman,56.69
Scott Pinckney,56.67
Ernie Els,56.59
Paul Casey,56.47
Patrick Rodgers,56.47
Oscar Fraustro,56.42
Carlos Ortiz,56.24
Ryan Armour,56.18
Charles Howell III,56.16
Cameron Percy,56.16
Matt Every,55.97
Tony Finau,55.96
Hudson Swafford,55.92
Chez Reavie,55.88
John Senden,55.88
Bo Van Pelt,55.84
Will MacKenzie,55.83
Jason Dufner,55.81
Gary Woodland,55.75
Brice Garnett,55.65
Andres Gonzales,55.62
Ryo Ishikawa,55.45
Michael Thompson,55.36
Jason Gore,55.01
Lucas Glover,55
Jim Renner,54.96
Seung-Yul Noh,54.89
Charl Schwartzel,54.66
Roberto Castro,54.43
J.J. Henry,54.32
Scott Stallings,54.23
Byron Smith,54.22
Ben Martin,54.2
Adam Scott,54.09
Roger Sloan,53.62
Robert Garrigus,53.04
Alex Prugh,53.02
Trevor Immelman,53
Lee Westwood,52.23
Nicholas Thompson,52.06
Robert Allenby,51.69
Geoff Ogilvy,51.56
Andrew Svoboda,51.08
Zack Sucher,51.06
Angel Cabrera,50.45
Carlos Sainz Jr,49.65
Charlie Beljan,48.77
